As at 31 March...,Geo code,Force Name,Region,Gender,Rank description,Worker type,Ethnicity,Ethnic group,Total (headcount),Total (FTE),,,
2003,E23000008,Durham,North East,Male,Chief Officer,Police Officer,White,White,3,3,,,
2003,W15000004,Dyfed-Powys,Wales,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,W15000004,Dyfed-Powys,Wales,Female,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,W15000004,Dyfed-Powys,Wales,Female,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,W15000004,Dyfed-Powys,Wales,Female,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,W15000004,Dyfed-Powys,Wales,Female,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,W15000004,Dyfed-Powys,Wales,Female,Chief Officer,Police Officer,White,White,0,0,,,
2003,W15000004,Dyfed-Powys,Wales,Male,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,W15000004,Dyfed-Powys,Wales,Male,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,W15000004,Dyfed-Powys,Wales,Male,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,W15000004,Dyfed-Powys,Wales,Male,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,W15000004,Dyfed-Powys,Wales,Male,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,W15000004,Dyfed-Powys,Wales,Male,Chief Officer,Police Officer,White,White,3,3,,,
2003,E23000028,Essex,Eastern,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
